symbol,rsrating,time
PGRE,118.55,2025-07-25
SGI,118.53,2025-07-25
ARMG,118.52,2025-07-25
LCFY,118.5,2025-07-25
HEI,118.49,2025-07-25
MRP,118.47,2025-07-25
GILT,118.47,2025-07-25
BOEG,118.44,2025-07-25
NG,118.44,2025-07-25
HLF,118.43,2025-07-25
SHNY,118.39,2025-07-25
LINK,118.37,2025-07-25
GF,118.31,2025-07-25
NATO,118.3,2025-07-25
BA,118.3,2025-07-25
ROKU,118.29,2025-07-25
HWKN,118.25,2025-07-25
WNS,118.24,2025-07-25
RBKB,118.22,2025-07-25
GRFS,118.19,2025-07-25
ESPO,118.18,2025-07-25
TEM,118.16,2025-07-25
SWIM,118.14,2025-07-25
COHN,118.11,2025-07-25
GLXY,118.07,2025-07-25
KLG,118.04,2025-07-25
AIRT,117.98,2025-07-25
MEDP,117.98,2025-07-25
LPLA,117.97,2025-07-25
MOMO,117.97,2025-07-25
AZZ,117.91,2025-07-25
SOUX,117.9,2025-07-25
ISBA,117.9,2025-07-25
AEM,117.87,2025-07-25
CPNG,117.84,2025-07-25
SYF,117.8,2025-07-25
ACFN,117.8,2025-07-25
CAE,117.78,2025-07-25
COII,117.76,2025-07-25
GSIB,117.75,2025-07-25
FTI,117.7,2025-07-25
ROM,117.68,2025-07-25
PBW,117.65,2025-07-25
NEXN,117.61,2025-07-25
FOSLL,117.6,2025-07-25
GPRE,117.6,2025-07-25
TR,117.6,2025-07-25
NWG,117.59,2025-07-25
LWAY,117.59,2025-07-25
SGDM,117.53,2025-07-25
CENX,117.49,2025-07-25
MAGX,117.47,2025-07-25
VSAT,117.35,2025-07-25
LAUR,117.34,2025-07-25
QTUM,117.27,2025-07-25
FNGU,117.26,2025-07-25
ITA,117.24,2025-07-25
ELAN,117.24,2025-07-25
DMAT,117.21,2025-07-25
EMR,117.21,2025-07-25
SPNT,117.2,2025-07-25
BK,117.15,2025-07-25
NERD,117.11,2025-07-25
ACCS,117.02,2025-07-25
SIL,117.0,2025-07-25
KEMQ,116.99,2025-07-25
TRFK,116.97,2025-07-25
OSK,116.96,2025-07-25
ZBIO,116.96,2025-07-25
OSIS,116.93,2025-07-25
CIO,116.81,2025-07-25
ING,116.79,2025-07-25
JOYY,116.74,2025-07-25
EBAY,116.63,2025-07-25
BABX,116.63,2025-07-25
CVI,116.62,2025-07-25
CCEC,116.57,2025-07-25
CAH,116.56,2025-07-25
FPX,116.56,2025-07-25
ATFV,116.55,2025-07-25
QXO,116.51,2025-07-25
CORZ,116.48,2025-07-25
SOHU,116.43,2025-07-25
UXI,116.41,2025-07-25
TMAT,116.4,2025-07-25
SMCL,116.37,2025-07-25
BWXT,116.37,2025-07-25
GDMN,116.36,2025-07-25
VC,116.35,2025-07-25
MUX,116.33,2025-07-25
FLUT,116.33,2025-07-25
