Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,Earning_Date,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
1205,WLDR,46.47,54934,ETF,ETF,82.0,60.0,81.0,84.0,1.111,0.8956,9569.0,14190.0,47.82,33.03,0,NO,43.68,38.86,44.44,39.96,,2124,0.0,54934,NO,NO,2020-05-26,258800
1210,GL,178.68,527318,Financial Services,Insurance - Life,82.0,92.0,83.0,82.0,3.6975,3.4568,586872.0,843440.0,181.15,116.73,13873564672,NO,158.94,144.26,162.3,148.87,,11528,0.0,527318,NO,NO,2024-04-11,36577500
1222,PTCT,81.57,2039092,Healthcare,Biotechnology,82.0,86.0,77.0,43.0,3.3219,3.1662,1589882.0,3391510.0,87.5,43.17,6766177280,NO,72.6,71.16,74.41,72.44,,3276,0.0,2039092,NO,NO,2016-04-15,28675100
1263,PFIS,66.37,48201,Financial Services,Banks - Regional,82.0,88.0,77.0,87.0,1.845,1.8,64753.0,91130.0,67.75,43.64,664422208,NO,59.87,53.23,61.03,55.76,,6056,0.0,48201,NO,NO,2014-06-27,1016800
1281,NTRS,173.84,851613,Financial Services,Asset Management,81.0,75.0,80.0,81.0,3.9811,3.7596,1120630.0,1177770.0,178.7,118.99,32168615936,NO,168.04,145.5,168.66,152.79,,11666,0.0,851613,NO,NO,1998-01-29,16895600
1292,MHO,160.79,174790,Consumer Cyclical,Residential Construction,81.0,94.0,85.0,81.0,4.9114,4.6136,247677.0,378970.0,163.66,110.95,4143190016,NO,136.53,134.47,139.63,134.87,,8218,0.0,174790,NO,NO,2009-05-20,4944100
1344,UNF,264.46,73877,Industrials,Specialty Business Services,81.0,37.0,40.0,87.0,5.8221,5.3614,232320.0,230690.0,283.77,147.66,4782469120,NO,261.93,216.31,262.28,239.69,,10697,0.0,73877,NO,NO,2026-03-11,2388900
1386,CAH,237.56,1032132,Healthcare,Medical Distribution,80.0,94.0,59.0,68.0,5.7964,5.4914,2186935.0,2685460.0,240.93,137.75,55637942272,NO,206.36,200.17,209.84,211.46,,10810,0.33,1032132,NO,NO,2004-07-01,35567800
1390,EXEL,54.41,2599283,Healthcare,Biotechnology,80.0,82.0,82.0,74.0,1.5521,1.5264,2672214.0,3304870.0,55.91,33.76,13676230656,NO,49.69,44.02,50.95,45.91,,6589,0.0,2599283,NO,NO,2015-07-20,74607500
1394,KMT,35.05,634726,Industrials,Tools & Accessories,80.0,80.0,25.0,77.0,1.3379,1.2336,1317861.0,1309870.0,43.81,17.62,2671164160,NO,36.06,31.94,35.29,35.37,,13452,0.0,634726,NO,NO,2023-03-17,16730700
1403,HWAY,39.27,73,ETF,ETF,80.0,76.0,75.0,81.0,0.8029,0.4411,667.0,1310.0,42.09,28.35,0,NO,37.56,33.74,37.86,35.12,,450,0.0,73,NO,NO,2025-03-26,28700
1415,PSCH,52.37,20082,ETF,ETF,80.0,92.0,84.0,67.0,0.8393,0.725,16595.0,31180.0,52.6,37.45,0,NO,46.23,43.85,47.16,44.59,,4083,0.0,20082,NO,NO,2011-03-11,6500400
1420,STCE,69.95,205635,ETF,ETF,80.0,6.0,88.0,61.0,4.2221,3.9211,142308.0,131950.0,109.64,48.35,0,NO,73.16,70.91,73.54,65.51,,979,0.0,205635,NO,NO,2026-01-20,597600
