IndustryRank,Ticker,Price,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,Gap (%),IPO,HVE
4,STRA,76.47,Consumer Defensive,Education & Training Services,13.0,10.0,38.0,9.0,2.3093,2.2379,0.0,NO,NO
5,PRDO,31.23,Consumer Defensive,Education & Training Services,13.0,19.0,20.0,6.0,0.97,0.97,0.0,NO,NO
1,ELC,19.14,Utilities,Electric utilities,11.0,35.0,20.0,12.0,0.2382,0.2375,0.0,NO,NO
1,OESX,29.04,Industrials,Electrical Equipment & Parts,98.0,98.0,98.0,98.0,2.565,2.4128,1.26,NO,NO
2,BE,276.53,Industrials,Electrical Equipment & Parts,97.0,97.0,7.0,96.0,18.4609,15.8466,0.47,NO,NO
3,FCEL,17.86,Industrials,Electrical Equipment & Parts,96.0,10.0,5.0,98.0,1.5057,1.3086,0.0,NO,NO
4,PLPC,425.2,Industrials,Electrical Equipment & Parts,95.0,55.0,82.0,93.0,18.8421,16.7936,0.0,NO,NO
5,ATKR,94.5,Industrials,Electrical Equipment & Parts,92.0,73.0,90.0,94.0,0.2743,0.245,0.0,NO,NO
1,VICR,268.34,Technology,Electronic Components,97.0,97.0,4.0,93.0,16.66,13.5564,7.66,NO,NO
2,ALNT,108.06,Technology,Electronic Components,96.0,94.0,84.0,95.0,4.7922,3.9458,0.0,NO,NO
3,BHE,82.23,Technology,Electronic Components,93.0,94.0,11.0,91.0,2.7857,2.4457,0.0,NO,NO
4,FLEX,114.45,Technology,Electronic Components,92.0,84.0,3.0,95.0,5.1829,4.6121,0.0,NO,NO
5,RELL,17.23,Technology,Electronic Components,91.0,67.0,24.0,92.0,0.6593,0.5914,0.72,NO,NO
1,GRVY,68.68,Communication Services,Electronic Gaming & Multimedia,53.0,30.0,34.0,52.0,2.1429,2.1086,0.0,NO,NO
2,NTES,118.76,Communication Services,Electronic Gaming & Multimedia,12.0,12.0,41.0,40.0,2.1614,1.4786,1.08,NO,NO
3,TTWO,205.53,Communication Services,Electronic Gaming & Multimedia,6.0,3.0,6.0,35.0,6.8532,6.6704,0.0,NO,NO
4,RBLX,49.87,Communication Services,Electronic Gaming & Multimedia,3.0,97.0,72.0,6.0,2.42,2.1742,0.0,NO,NO
1,NSIT,156.25,Technology,Electronics & Computer Distribution,96.0,88.0,95.0,97.0,6.5889,6.3861,0.0,NO,NO
2,AVT,98.25,Technology,Electronics & Computer Distribution,95.0,93.0,81.0,94.0,3.6243,3.295,0.0,NO,NO
3,SNX,283.25,Technology,Electronics & Computer Distribution,94.0,94.0,29.0,95.0,8.5568,7.3818,0.18,NO,NO
4,ARW,221.83,Technology,Electronics & Computer Distribution,93.0,87.0,34.0,93.0,7.7686,6.8436,0.0,NO,NO
5,CNXN,86.84,Technology,Electronics & Computer Distribution,91.0,93.0,91.0,92.0,2.4214,2.2979,1.07,NO,NO
1,PHOE,19.75,Industrials,Engineering & Construction,92.0,5.0,81.0,88.0,1.5666,1.3275,0.0,NO,NO
